"date","big_growth","big_neutral","big_value","small_growth","small_neutral","small_value"
2013-04-02,-0.0122063534103717,-0.00850203074526537,-0.0621874417619046,-0.022230152498885,-0.0123695865338784,0.000712410286223708
2013-04-03,-0.00524266429062355,-0.0154140554802334,-0.0145551296600099,-0.0134360944208264,-0.0179713342858674,-0.0212812403586981
2013-04-04,-0.0257892197905671,-0.0194586176406677,-0.00818570451368994,-0.00702622092661342,-0.012671498379172,-0.016275583125085
2013-04-05,-0.0488810407337503,-0.00183270835974828,0.0146324774223434,-0.0205023018120341,-0.014806130666802,-0.00489020083818681
2013-04-08,0.0109071224880398,-0.00323279710898381,0.00139672814279815,0.00583447126274992,-0.000799035270872883,0.00754185033725241
2013-04-09,0.0014599259262178,0.00480930534374929,0.0195196522013064,-0.00286594644687055,0.00452299796549413,0.015601879988349
2013-04-10,-0.00468003582815761,0.00508156425275012,-0.00337195657951334,0.0271957078489181,0.0124058846727846,0.00471711551808403
2013-04-11,-0.00721857655021418,-0.00116576058884177,0.00571826569082948,-0.0242563247006255,-0.0186677492301382,0.00485849847376874
2013-04-12,0.00319019829927851,-0.0132319053123744,-0.000406018219991255,-0.0132077462770666,-0.0294553336883386,-0.00643466322192336
2013-04-15,-0.030618301326421,-0.0254681309801694,-0.0231564594309376,-0.0228892964739881,-0.031530398005741,-0.0149546007222824
2013-04-16,0.00182869397339838,0.00308820255233111,0.0145594130500533,0.00102316567492888,-0.0023423181641874,0.00457898770392939
2013-04-17,-0.0246325729469271,0.0011840242980537,-0.0253945579775216,0.00205527182040264,-0.0114839468545729,-0.0142923919608452
2013-04-18,-0.00103665455579549,-0.0054757521479272,-0.00051507938338255,-0.00314417935297864,-0.00826688567037021,-0.0175721871084645
2013-04-19,0.0196702807459041,0.011992305612384,0.0257536761105805,0.0114374817433436,0.0247881264676794,0.0148153842481047
2013-04-22,0.0292844743391312,0.0159640955063118,0.00122779281309121,0.0051829308869769,0.000470251715523673,0.00166740663873236
2013-04-23,-0.0174782739363781,0.00359044261793273,-0.00570616495962237,-0.00404222812105823,-0.0062731460024387,0.00389419651451336
2013-04-24,0.0122123601562708,0.0124936589045834,0.00991706197179942,0.00888992472220078,0.0190048623172532,0.00645753722922619
