"","cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
"1",-0.000465006286593859,-0.000562811888304588,-0.000574647065841627,-0.000716001871701574,-0.00075741217245782,-0.000339997962099035,-0.000389714874711608,-0.000388333056728432,-0.000465053923116633,-0.000507022487971915
"2",-0.00128313297845389,-0.00140422639323613,-0.00135995854108534,-0.00150766031893591,-0.00155517197326177,-0.000831765125421884,-0.000901583042568632,-0.000864189414716877,-0.000946730522103025,-0.00099290966236254
"3",0.000638863561775052,0.000579078386800159,0.000593463605500913,0.000505838648455177,0.000462829559729414,0.000714879012865998,0.000724125266964653,0.000718541794148709,0.000715644605768801,0.000671757794976571
"4",-0.0013954417585394,-0.00149904052248116,-0.0014717405885243,-0.00160234015880097,-0.00164135625354952,-0.00107056241583682,-0.00113003585984953,-0.00110518155517916,-0.00117856207934723,-0.00121696771036376
"5",-0.000781046962484679,-0.000909898309074007,-0.000875440978167689,-0.00103927754980085,-0.00108569294321628,-0.000363789976819457,-0.000435943857714047,-0.00040042418978701,-0.000490004085056415,-0.000536007504613665
"6",-0.00107519991921511,-0.00118606087959894,-0.00116496407821042,-0.00130789610732837,-0.0013684858906281,-0.000748364844519917,-0.00081671024719111,-0.000788772020983957,-0.00087414394895198,-0.000934639528498426
"7",-0.000194931773780941,-0.000232657133841068,-0.000231217603030375,-0.000286977211953009,-0.00034337690097174,-0.000186607170547842,-0.000193073450566269,-0.000193118090252774,-0.000205558669863383,-0.000262150518203864
"8",-0.000945370101397918,-0.00108310572438443,-0.00105719045311117,-0.00123830956715959,-0.0012798550746449,-0.000531679712973776,-0.000605529250248383,-0.000575529169645621,-0.00067419301742263,-0.000715985394287871
"9",-0.00115492554860489,-0.00126899659910799,-0.00125058215941881,-0.0013995586211026,-0.00144453217430832,-0.000840893002341708,-0.00091004567219821,-0.00088283548281195,-0.000970643364622501,-0.00101592817289985
"10",-0.00101866106869436,-0.0011274047694483,-0.00111714071009449,-0.00126098467153545,-0.00131150547942927,-0.00074858521612011,-0.000818819779860061,-0.000795420722333849,-0.000885048097947316,-0.000935530537795969
"11",-0.00261691750189436,-0.00276091521859093,-0.002718956022778,-0.00289669421342216,-0.00300632567180047,-0.00208345522399966,-0.00218166693596159,-0.0021315934489587,-0.00224792540183201,-0.00235601720258292
"12",-0.00159136262991968,-0.00173423135261136,-0.00167471336777526,-0.00184794182702786,-0.00188788852634236,-0.00101440443559553,-0.00108986141619043,-0.00104303526105122,-0.00113211686204643,-0.00117095576672504
"13",-0.00153375686307157,-0.00172274579132411,-0.00164811621355683,-0.00187390588913651,-0.00193420718100905,-0.000747613607080712,-0.00086677270990658,-0.000799978920861188,-0.000938152101953806,-0.000998262873331913
"14",-0.00112269519338682,-0.00126811216908144,-0.00131825884545889,-0.00152465635704308,-0.00155932115762486,-0.000846090582532565,-0.000975610840748021,-0.00097965851640962,-0.00115641466307741,-0.00119165105212211
"15",-0.00179881808396314,-0.00191015112979259,-0.00188409858532078,-0.00202438395834437,-0.00209151219080958,-0.00146430098473475,-0.00153124936492098,-0.00150719199986072,-0.00158987547760799,-0.00165632941051276
"16",-0.00221816717109022,-0.00237588172697171,-0.00230974053210749,-0.00249689621995634,-0.00256791923776752,-0.00154450426591599,-0.00164363291512681,-0.00158519424804636,-0.00169913211883125,-0.00177011162639696
