"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.195,0.19,0.191,0.185,0.184,0.203,0.202,0.202,0.2,0.199
0.282,0.283,0.28,0.28,0.274,0.258,0.265,0.259,0.264,0.258
0.075,0.076,0.075,0.075,0.07,0.056,0.059,0.056,0.06,0.055
0.413,0.419,0.416,0.421,0.417,0.377,0.388,0.381,0.392,0.388
0.504,0.507,0.504,0.505,0.504,0.481,0.488,0.482,0.488,0.487
0.143,0.143,0.139,0.137,0.131,0.117,0.119,0.114,0.115,0.11
-0.07,-0.077,-0.074,-0.081,-0.086,-0.055,-0.058,-0.057,-0.06,-0.065
-0.189,-0.202,-0.199,-0.216,-0.218,-0.162,-0.173,-0.169,-0.183,-0.186
0.269,0.261,0.263,0.253,0.252,0.278,0.274,0.276,0.27,0.269
0.203,0.191,0.191,0.175,0.172,0.222,0.211,0.213,0.199,0.195
0.194,0.194,0.192,0.191,0.187,0.171,0.176,0.172,0.175,0.172
0.095,0.093,0.093,0.089,0.082,0.083,0.084,0.082,0.083,0.076
0.087,0.085,0.083,0.079,0.075,0.074,0.076,0.073,0.073,0.069
0.24,0.229,0.232,0.218,0.216,0.268,0.259,0.264,0.252,0.25
-0.041,-0.049,-0.05,-0.06,-0.063,-0.049,-0.053,-0.055,-0.062,-0.065
0.338,0.335,0.332,0.326,0.325,0.321,0.321,0.316,0.315,0.313
0.491,0.499,0.494,0.502,0.5,0.445,0.459,0.45,0.464,0.462
0.347,0.348,0.346,0.346,0.346,0.325,0.331,0.326,0.332,0.332
-0.144,-0.154,-0.152,-0.165,-0.169,-0.129,-0.137,-0.134,-0.145,-0.148
0.167,0.169,0.167,0.167,0.164,0.14,0.147,0.142,0.148,0.145
0.084,0.077,0.078,0.07,0.065,0.084,0.081,0.082,0.076,0.072
0.221,0.217,0.219,0.213,0.212,0.223,0.223,0.223,0.222,0.221
0.268,0.272,0.268,0.271,0.268,0.229,0.237,0.23,0.237,0.235
0.685,0.682,0.682,0.677,0.681,0.686,0.687,0.686,0.686,0.689
0.488,0.492,0.49,0.493,0.492,0.466,0.475,0.47,0.478,0.477
0.201,0.2,0.198,0.196,0.196,0.182,0.185,0.181,0.184,0.183
0.057,0.051,0.051,0.043,0.041,0.051,0.049,0.048,0.044,0.042
0.034,0.03,0.028,0.022,0.018,0.019,0.016,0.015,0.01,0.007
0.169,0.169,0.165,0.163,0.161,0.136,0.137,0.133,0.133,0.131
0.064,0.061,0.061,0.056,0.055,0.056,0.057,0.055,0.056,0.054
0.394,0.389,0.385,0.376,0.373,0.389,0.386,0.382,0.376,0.373
-0.03,-0.042,-0.042,-0.057,-0.061,-0.022,-0.032,-0.031,-0.043,-0.047
0.263,0.26,0.256,0.249,0.247,0.245,0.244,0.24,0.236,0.233
0.202,0.187,0.187,0.167,0.164,0.227,0.213,0.215,0.198,0.194
0.259,0.256,0.255,0.25,0.246,0.244,0.244,0.242,0.241,0.237
0.236,0.241,0.238,0.242,0.242,0.2,0.208,0.202,0.211,0.21
0.069,0.067,0.067,0.063,0.058,0.058,0.061,0.058,0.06,0.055
0.115,0.111,0.111,0.105,0.101,0.112,0.113,0.111,0.11,0.106
0.811,0.816,0.813,0.815,0.814,0.792,0.8,0.795,0.802,0.801
0.142,0.138,0.139,0.134,0.133,0.142,0.142,0.142,0.141,0.139
-0.097,-0.102,-0.102,-0.108,-0.113,-0.1,-0.104,-0.103,-0.107,-0.112
-0.004,-0.005,-0.006,-0.008,-0.011,-0.016,-0.016,-0.017,-0.017,-0.02
0.018,0.01,0.01,-0.001,-0.002,0.019,0.014,0.014,0.006,0.005
0.171,0.169,0.17,0.167,0.166,0.165,0.165,0.164,0.164,0.164
