etf,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
eem,-0.15175550599531742,-0.1681926280983751,-0.17666232673784124,-0.2024315907207959,-0.21857094363670015,-0.10417610238807035,-0.11337352609479441,-0.11521209274645491,-0.1295245105477912,-0.1455508293473182
eemo,-0.20625881259328085,-0.22424960357565774,-0.22968697098373608,-0.2561898399719681,-0.2720043565147746,-0.14452499559402748,-0.15490608495025726,-0.15456105355037233,-0.16931874381351975,-0.1850591274055027
eemv,-0.20916491897576606,-0.22759346422820179,-0.2339993926153492,-0.2614546811326828,-0.2784874522708861,-0.14727527923395223,-0.15804106108307028,-0.15812857523539572,-0.173657887083575,-0.19057442532336072
fem,-0.21588526617960496,-0.23474973520171608,-0.24060009405053803,-0.26837283766554815,-0.2849586891719791,-0.15038792983677815,-0.16152225500367456,-0.16113413935465998,-0.17692785645208284,-0.19343993339257579
ieem,-0.19613786534514993,-0.21455155868728926,-0.22166883531667686,-0.24939452124006128,-0.266035856755223,-0.13571490913862758,-0.14645544805070498,-0.147005780093405,-0.1627584133145953,-0.1792753469984075
psrm,-0.20256373100584613,-0.22083335290444475,-0.2275972877963725,-0.25498351127239427,-0.2714986927760125,-0.1423673649842957,-0.15307067195376103,-0.15336300104771455,-0.16892499292523672,-0.18531919834334082
vwo,0.020297334989283017,0.010099602035650202,-0.0027394336827253826,-0.022869310151278875,-0.03985238888186966,0.027385510893994658,0.024139053624000168,0.01783540106329833,0.008686871982246417,-0.00814358820867836
