"","cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
"1",0.000522813528607592,0.000425681193593696,0.000456503423624765,0.000335164926555606,0.000342479358176372,0.000701487023845059,0.000634912838168317,0.000667616923100002,0.000584358108622081,0.000591483028617948
"2",-0.000655920054092398,-0.000707260950609785,-0.000679982986128635,-0.000739820825609138,-0.00076103432330789,-0.00049344933408867,-0.000528111449824999,-0.000504048113528443,-0.000542857034077169,-0.000564239503466785
"3",-0.000245107278279193,-0.000289357888011158,-0.000283017245046089,-0.000341342326495718,-0.000354348887423183,-0.000249560916467682,-0.000279154450606865,-0.000269506784509864,-0.000308173643152568,-0.000321356462880538
"4",-0.00103330354925785,-0.00110484756392817,-0.00106653555543544,-0.00114961164871042,-0.00116498622464848,-0.000810494896353437,-0.000858063541886784,-0.000825582123745316,-0.000878968984549782,-0.000894070713754439
"5",-0.000738149152525164,-0.000854938319507481,-0.000784024885474158,-0.000916336132517399,-0.000939422536530532,-0.000286279912344176,-0.000358914959897244,-0.000305545625212176,-0.000385934483090359,-0.000408054982136492
"6",-0.000543775309168027,-0.000611744542713858,-0.000576477377444732,-0.000655842685860197,-0.00067715448561843,-0.000340565162571313,-0.000385329869435135,-0.000355564136003769,-0.000406289786076136,-0.00042750590872277
"7",-0.000487531794318135,-0.000501446850525834,-0.000501874111797045,-0.000523657195250447,-0.000568856031455334,-0.000584109041025408,-0.000577138008894491,-0.000586305236130949,-0.000582294174931459,-0.000626846446437182
"8",-0.000919604148828771,-0.000996016839771713,-0.000977905779301384,-0.00107300567779607,-0.00109335483065199,-0.000802779686828522,-0.000851191197518291,-0.000841873217046996,-0.000904064922187055,-0.000924572812671255
"9",-0.000991651683218034,-0.00108299638065249,-0.00103299628435906,-0.00113861021725421,-0.00115806083914894,-0.000696503163481518,-0.000752971671650751,-0.000715318787537265,-0.000779536003969765,-0.000799136829538737
"10",-0.000141555763954194,-0.000161369204843185,-0.000159163723518034,-0.000188354682313307,-0.00022049018394022,-0.000227856385595973,-0.000219151825254751,-0.000230879266800166,-0.000226278741224643,-0.000258106975402677
"11",-0.00145654809360199,-0.00152102970246436,-0.00148524322192108,-0.00155955320484518,-0.00159914814872052,-0.00123730105863825,-0.00128085251128336,-0.00125023336513737,-0.00129874727375971,-0.00133835557688405
"12",-0.00154323557240815,-0.00164712816637414,-0.00158954946335988,-0.00170758768049233,-0.00172376719651913,-0.00114158075975565,-0.00122439879720933,-0.00116601451920097,-0.00125714557589074,-0.00127308688283795
"13",-0.00114287173494917,-0.0012246935483041,-0.00117231632282385,-0.00126443072185187,-0.00131356369259826,-0.000827887196003781,-0.000872961429082009,-0.000839482027671497,-0.000889351270473257,-0.000938874257600231
"14",-0.00161250175069577,-0.00171556376875898,-0.00171418446967248,-0.00184734145132179,-0.00187453798543328,-0.00157158605994208,-0.00165943444317927,-0.00164643752827441,-0.00175838337784515,-0.0017857628282417
"15",-0.00127840484442309,-0.00138870927008433,-0.00132438714141735,-0.00145087218723768,-0.0014718323101381,-0.000892858462775663,-0.000957672560415965,-0.000911865992977134,-0.000984965342526727,-0.00100569076542597
"16",-0.00225011174207166,-0.00234296926474734,-0.0022795630155471,-0.00238185334631089,-0.00242916064984174,-0.00183248721017731,-0.00188726667432704,-0.00184459858597291,-0.00190374845111798,-0.00195145465578923
"17",-0.00162627635244842,-0.00173803132810846,-0.00168844577328935,-0.00182117569547818,-0.00185157353807038,-0.00132592070628276,-0.00140761081313443,-0.00135757382695526,-0.00145223405688352,-0.00148258661581531
"18",0.000130531065352655,0.000112619368522799,0.000103204282217207,7.35692354970634e-05,6.6288638902456e-05,-3.2629796524019e-05,-3.44625684379691e-05,-4.55522979735962e-05,-5.41836201790555e-05,-6.140543105986e-05
"19",-0.00118633368749864,-0.00125218059003878,-0.00122326701286253,-0.00130363626804493,-0.00134239526043237,-0.00104848739873837,-0.00108018243600246,-0.00106318461162492,-0.00110294967524223,-0.00114183030406467
"20",-0.00156388380067785,-0.00167735076089515,-0.0016148542273666,-0.00174425432477636,-0.00176789466927198,-0.00115982643131824,-0.00124300650896549,-0.0011867851278811,-0.00127940535007042,-0.0013028598538348
"21",-0.000844069031579113,-0.000974601645598324,-0.000894410278411854,-0.00104140107627456,-0.00103998335631397,-0.000318503232772887,-0.000403940819729687,-0.000340747856232238,-0.000434538343497118,-0.000432820838161537
"22",-1.95325095209576e-07,-6.71138173040399e-05,-3.8583406233696e-05,-0.000119975461852234,-0.000132713381676233,0.000126664190086304,8.61470813912455e-05,0.00011036463071779,6.22793794737596e-05,4.93986252227943e-05
"23",-0.00104465551796372,-0.00114946169562397,-0.00108503078815283,-0.00120457038596983,-0.0012190739863589,-0.000676213413253165,-0.000729660416445255,-0.000691302814506565,-0.000751809054875783,-0.000766309622620842
