"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.144,0.138,0.139,0.13,0.129,0.153,0.152,0.152,0.148,0.147
0.233,0.233,0.231,0.229,0.222,0.212,0.217,0.212,0.216,0.209
0.085,0.082,0.082,0.077,0.073,0.079,0.078,0.078,0.076,0.072
0.327,0.33,0.327,0.329,0.324,0.294,0.303,0.296,0.304,0.299
0.438,0.439,0.437,0.436,0.433,0.415,0.421,0.417,0.421,0.418
0.167,0.167,0.164,0.162,0.154,0.143,0.146,0.142,0.144,0.137
-0.032,-0.039,-0.036,-0.045,-0.048,-0.014,-0.017,-0.015,-0.019,-0.023
-0.058,-0.069,-0.066,-0.08,-0.082,-0.035,-0.042,-0.04,-0.048,-0.051
0.243,0.236,0.235,0.226,0.223,0.241,0.239,0.237,0.232,0.23
0.337,0.331,0.33,0.32,0.316,0.342,0.339,0.338,0.332,0.328
0.112,0.109,0.106,0.101,0.097,0.09,0.092,0.087,0.087,0.083
-0.024,-0.029,-0.029,-0.036,-0.046,-0.032,-0.033,-0.034,-0.037,-0.047
0.018,0.009,0.008,-0.005,-0.009,0.022,0.016,0.016,0.006,0.003
0.336,0.332,0.331,0.324,0.322,0.337,0.336,0.335,0.332,0.329
-0.049,-0.058,-0.061,-0.074,-0.077,-0.049,-0.056,-0.058,-0.068,-0.07
0.335,0.334,0.33,0.326,0.323,0.312,0.314,0.309,0.309,0.306
0.456,0.463,0.458,0.464,0.463,0.408,0.421,0.412,0.424,0.423
0.339,0.339,0.337,0.336,0.336,0.315,0.32,0.316,0.32,0.32
-0.124,-0.136,-0.135,-0.151,-0.155,-0.102,-0.112,-0.109,-0.122,-0.125
0.121,0.123,0.121,0.122,0.117,0.086,0.094,0.088,0.095,0.09
0.111,0.104,0.104,0.094,0.09,0.111,0.107,0.107,0.101,0.097
0.188,0.179,0.181,0.17,0.171,0.2,0.193,0.196,0.188,0.189
0.211,0.213,0.21,0.211,0.207,0.179,0.184,0.179,0.184,0.18
0.618,0.614,0.613,0.607,0.61,0.609,0.61,0.608,0.607,0.61
0.36,0.364,0.358,0.361,0.359,0.322,0.332,0.322,0.331,0.329
0.093,0.087,0.088,0.08,0.078,0.093,0.092,0.092,0.089,0.087
0.113,0.108,0.107,0.1,0.097,0.106,0.105,0.104,0.101,0.098
0.047,0.04,0.039,0.03,0.026,0.049,0.043,0.044,0.036,0.033
0.267,0.268,0.264,0.263,0.262,0.235,0.238,0.233,0.235,0.234
0.019,0.014,0.014,0.008,0.005,0.016,0.016,0.015,0.013,0.011
0.653,0.654,0.651,0.649,0.648,0.638,0.643,0.639,0.642,0.64
0.066,0.054,0.054,0.038,0.035,0.08,0.071,0.072,0.059,0.056
0.268,0.266,0.26,0.255,0.252,0.245,0.246,0.24,0.238,0.234
0.436,0.426,0.427,0.412,0.409,0.456,0.448,0.45,0.44,0.437
0.321,0.322,0.319,0.318,0.312,0.292,0.298,0.292,0.297,0.291
0.166,0.17,0.167,0.17,0.168,0.126,0.134,0.128,0.135,0.133
0.073,0.072,0.07,0.066,0.061,0.052,0.053,0.05,0.051,0.046
0.163,0.161,0.16,0.156,0.152,0.144,0.147,0.144,0.145,0.141
0.761,0.766,0.762,0.765,0.764,0.731,0.741,0.734,0.743,0.742
0.107,0.102,0.102,0.094,0.093,0.106,0.105,0.104,0.101,0.1
0.044,0.042,0.041,0.038,0.034,0.025,0.027,0.024,0.025,0.021
