etf,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
eem,-0.27515682135848135,-0.2992102153824915,-0.3331893341711607,-0.3790327862769034,-0.41860664767555866,-0.1979650234204113,-0.21206751396201864,-0.223676613047536,-0.2495164353961316,-0.2885952385462244
eemo,-0.30482318998511476,-0.33062413456796214,-0.3620165899103563,-0.4087604656774731,-0.44664756362699876,-0.21361360160265594,-0.22918530880942312,-0.23889925423660002,-0.26556504017662474,-0.30305119908484496
eemv,-0.31680005801726807,-0.3419058875174178,-0.37258994657742395,-0.4181619072468468,-0.457830998264336,-0.22871286090106815,-0.24373574529181946,-0.25331500000280405,-0.27910839215121935,-0.3184044178201531
fem,-0.309996977754227,-0.3350673854709606,-0.36404935312503794,-0.4090259407883679,-0.4469536428841978,-0.22043507161659706,-0.23508742429157425,-0.24381253968278807,-0.26878002603437395,-0.30629548953566665
ieem,-0.2943946264834439,-0.31892342723435985,-0.350025060585235,-0.39530642700077306,-0.4360457171207059,-0.2108618280171496,-0.22510226393883076,-0.23503527739733127,-0.26024765188236154,-0.3004995065507886
psrm,-0.31333137677296186,-0.3384822939943827,-0.3678584589325259,-0.4131031616445234,-0.4521785896328883,-0.22390106498320156,-0.23874442659610942,-0.24742086322381285,-0.2726412871427583,-0.3112800692376399
vwo,-0.09149150031055234,-0.10951254076369066,-0.14722627847246056,-0.18819714209972416,-0.2295974647967516,-0.05423955036683721,-0.06254780202553555,-0.07793281347725453,-0.09927362960667122,-0.14028701827061188
