"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.183,0.179,0.175,0.166,0.16,0.172,0.173,0.169,0.166,0.16
-0.104,-0.115,-0.113,-0.128,-0.134,-0.073,-0.08,-0.077,-0.085,-0.091
-0.061,-0.071,-0.07,-0.083,-0.089,-0.038,-0.043,-0.042,-0.049,-0.054
0.082,0.074,0.073,0.062,0.056,0.089,0.086,0.085,0.08,0.074
0.223,0.22,0.216,0.209,0.203,0.207,0.209,0.205,0.205,0.199
-0.082,-0.093,-0.091,-0.105,-0.111,-0.054,-0.06,-0.058,-0.065,-0.071
0.153,0.148,0.144,0.136,0.13,0.142,0.142,0.139,0.137,0.131
