"","cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
"1",-0.002166742019899,-0.00239325965395196,-0.00279363684168343,-0.00326624220512178,-0.00363686583024567,-0.0015518921844671,-0.00167691541189123,-0.0018346358487219,-0.00210252101303702,-0.00246613202028927
"2",-0.00367637587935188,-0.00397161531965324,-0.00422514378950173,-0.00471183365738193,-0.00502762262250601,-0.00248401152841571,-0.0026675236872677,-0.00272192541848543,-0.00299882663937581,-0.00330545434920162
"3",-0.00143930653414147,-0.00148860042197103,-0.00165524730566309,-0.00181857445274979,-0.00223465305824131,-0.00162416773598435,-0.00160205142550126,-0.001679308126002,-0.00170356764275752,-0.0021213430365408
"4",-0.00407770720339413,-0.00434242389324445,-0.0046092106980095,-0.00506545123489611,-0.00546005140802068,-0.00307405354610647,-0.0032289341552845,-0.00330290992536849,-0.0035551459544304,-0.00394586923024143
"5",-0.00198566533432551,-0.00223583856302589,-0.00257489054272613,-0.00304018953432522,-0.00333804712348409,-0.00113082971997127,-0.00128772229344683,-0.00140202169759009,-0.00167884037979718,-0.00196974266493069
"6",-0.0027870362135184,-0.00308486773870255,-0.00346020265178894,-0.00400425085305691,-0.00435639172587427,-0.00174787559131298,-0.00192577707802121,-0.00204994986125518,-0.00236339716588929,-0.00270646974792938
"7",-0.00219477567845216,-0.00243356090402638,-0.00271673704059141,-0.00314403197142241,-0.00349334948056262,-0.00134005601404553,-0.00147852648705504,-0.00157945130661296,-0.00181823651818766,-0.00215272058400286
"8",-0.00290527292792223,-0.00311309382767261,-0.00348006954796866,-0.00391708585251897,-0.00433466489987049,-0.00237156847952612,-0.0024810457742871,-0.00261247720986968,-0.00284879009277382,-0.00326456958513848
"9",-0.00336467018368324,-0.00361551846130069,-0.00392051355232798,-0.00437281343889654,-0.00471434034652018,-0.00247876980047667,-0.00263645692976541,-0.00272598360492445,-0.00298875570617425,-0.00332276623419389
"10",-0.00281584738334661,-0.00303862937193668,-0.00327700658987316,-0.00367034145588609,-0.00415041103539787,-0.00200161774381981,-0.00213595455161773,-0.00218997865793534,-0.00240593974373329,-0.00287465498201826
"11",-0.000610288809468521,-0.000844262419276033,-0.00106526115609032,-0.0014738295752601,-0.0017254175855904,0.000262244408240292,0.000138908293184472,9.62979318239708e-05,-0.00010766488955757,-0.000349774913376956
"12",-0.00437164586689584,-0.00465024645519157,-0.00496853730168707,-0.0054573670689697,-0.00581993137194922,-0.00334180807017171,-0.00351343384835352,-0.00361954483851057,-0.00390360993104117,-0.00426639698150397
"13",-0.00228040451892189,-0.00251386109071747,-0.00271728220944269,-0.00310910742612876,-0.00343219078561032,-0.00141470962727265,-0.00153281804533499,-0.00160831266121176,-0.00180724945870108,-0.00212223682820492
"14",-5.12943712527303e-06,-0.000107524887762396,-0.00040498829377511,-0.000696604777954464,-0.00099614173019078,2.17952636278043e-05,1.13645841407347e-05,-0.00011928630518123,-0.00023360029966873,-0.000530295011656375
"15",-0.00399303411129666,-0.00432852158304496,-0.00463381765206082,-0.00519695072263833,-0.00556331828038215,-0.00263469457730761,-0.00283646942952471,-0.00290728878545474,-0.00322599387605796,-0.00359433903520013
