etf,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
eem,-0.017914064949918568,-0.024173383752168105,-0.0213055015892364,-0.028863694771627785,-0.030773089049957382,-0.006301800908464835,-0.00961983764261257,-0.007868039684634533,-0.011973452096615614,-0.013862135231346244
eemo,-0.06620028960458924,-0.07352489709292724,-0.0690113040132464,-0.0773414858090762,-0.07923685325914621,-0.042322223415220246,-0.04645613336107082,-0.04352375032104139,-0.04817957400999348,-0.05006374491233823
eemv,-0.059891195665875765,-0.06730376924853558,-0.06310709465472024,-0.07166969996458022,-0.0733467544063899,-0.03804229425421209,-0.04237502030929061,-0.03952287999133571,-0.04450469879041783,-0.04618260208171229
fem,-0.05921108239982395,-0.06606836707299069,-0.06192355656585077,-0.06977710366030192,-0.07136868807750547,-0.038128615295244375,-0.04184251799492511,-0.03924608162714353,-0.043473457774324376,-0.04505528618394079
ieem,-0.062238161041535116,-0.0699917441853358,-0.06579799503285556,-0.0748649500301567,-0.07720179452764621,-0.041881910708269486,-0.04619377383739274,-0.04348684329179107,-0.04855127071563557,-0.05087936350068396
psrm,-0.054868986892572164,-0.06175667385279049,-0.05802608473293948,-0.06609558082839714,-0.06795314851647717,-0.03756590679007416,-0.041202248867064695,-0.03895253097330533,-0.04325064985520829,-0.04509801233015294
vwo,0.2291061263307899,0.22702583330224455,0.22609840759755165,0.22244387088896966,0.2204574883765193,0.21914172022242115,0.22021572127353178,0.21789849078764528,0.21777898920669797,0.21580063871453609
