etf,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
eem,-0.07236253644349365,-0.08266245318027104,-0.07998625813423127,-0.09312240803927506,-0.09782592576112184,-0.04618041938443146,-0.0520460241619804,-0.04963702881068118,-0.05714599950997835,-0.06178588588018087
eemo,-0.11261160385997314,-0.12410174126267767,-0.11935930472845811,-0.133221276216042,-0.13735791094963176,-0.07325662070506422,-0.08006171623839708,-0.07621682519832026,-0.08426571738282518,-0.08838829197132428
eemv,-0.11520930492728414,-0.1263849045954741,-0.12256734388940534,-0.13632425166683526,-0.1404514641006153,-0.08031222287464218,-0.08719366202922169,-0.08377891478525375,-0.09212197830939817,-0.09624787910639043
fem,-0.1263286244582678,-0.13742821105067382,-0.13317237220117548,-0.14667194378246007,-0.15101815269460817,-0.09002723426602537,-0.0967056663264511,-0.0931313242795422,-0.10110046225103242,-0.10542114168801868
ieem,-0.11981692552164198,-0.130984637310841,-0.1274357122149095,-0.14134308098165466,-0.1471528527084317,-0.08748047827179584,-0.09404496227872361,-0.09099277342699565,-0.09909998131191562,-0.10476841259648258
psrm,-0.09327943843265266,-0.10383572891062195,-0.10037890254837246,-0.11353145175350104,-0.11774279222147434,-0.06285406400431053,-0.06891130023067135,-0.06600515201294567,-0.07350104120750146,-0.07766698592806763
vwo,0.1548347154040729,0.15002128882984203,0.14758701565367488,0.1394952644130897,0.1351141408959994,0.14742611825166912,0.14691748608624533,0.1441131441686469,0.14130618026785993,0.136935290048465
