"","cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
"1",-0.00242200233257848,-0.0026141511440698,-0.00261139658847777,-0.00286598239256389,-0.00294054871370403,-0.00174078824262685,-0.001876878957161,-0.00183531280138952,-0.0020064956560155,-0.00208193743745516
"2",-0.00118509302645226,-0.00128975047857635,-0.00131903438697844,-0.0014766738310762,-0.00157457665635236,-0.000958881169234638,-0.00101195278642739,-0.00101736119353226,-0.00110161730779252,-0.00120143081737626
"3",-0.000801634401517485,-0.000934997683117498,-0.000926188479274837,-0.00110595916692273,-0.00114366171036427,-0.00038272238644799,-0.000454803942878389,-0.000432381262881948,-0.000526305892654298,-0.00056269581043306
"4",-0.000273107639159395,-0.000362179468940501,-0.000390978864142686,-0.000534102012713188,-0.00062227649385746,-0.000166561046896101,-0.00019362612511121,-0.000201060213891056,-0.000257464229916935,-0.000344605550106154
"5",-0.00163235077687096,-0.00174991735243016,-0.00173532970804659,-0.00189147648316484,-0.00195948604608066,-0.00122186966125879,-0.00128737596160575,-0.0012600222578176,-0.00134344010798444,-0.00141126007857792
"6",-0.00225178658690312,-0.00237598754900048,-0.00236963172940554,-0.00253711909806962,-0.00265142798540143,-0.00186107163787524,-0.00193273808562993,-0.00190962187774172,-0.00200218047838228,-0.00211650969214269
"7",-0.00216327759772033,-0.00237141246742221,-0.00233222993129752,-0.00259610942775315,-0.0026612279721659,-0.00131613628711762,-0.00145202095652944,-0.00139146133299409,-0.00155562638957027,-0.00162199759325735
"8",-0.00165363904216292,-0.00178089501093711,-0.00179473569019454,-0.0019750107971986,-0.00205627581029133,-0.00133878492426611,-0.00141144636393178,-0.00139863643264127,-0.00149800227526394,-0.00157949374209496
"9",-0.000319197377007275,-0.000404779018266391,-0.000448275540426375,-0.000584860040932637,-0.000625092845880144,-0.000243280764511288,-0.000282635151370681,-0.000302467978663844,-0.000372342225193577,-0.000412320355361412
"10",-0.000174299418477493,-0.000271872829719852,-0.000308746106583982,-0.000459304958651939,-0.000613391696875095,-6.97546104287379e-06,-5.81403207428892e-05,-6.87201870989791e-05,-0.000152824788653281,-0.000308136198724136
"11",-0.00249073584130944,-0.00262436081338418,-0.00259568354982347,-0.00276821607883265,-0.0029405740991301,-0.00199288685996662,-0.00206174716501796,-0.00203075087763482,-0.00211641132475099,-0.00228539913068532
"12",-0.00117577356248756,-0.00134285241132896,-0.00131977580554143,-0.00153385413089664,-0.00159875248984123,-0.000525036898623018,-0.000628133983839458,-0.000597458275911191,-0.000727418904103166,-0.000791650847526688
"13",-0.00134770635023947,-0.00149624161776428,-0.00147256533934255,-0.00166520431837074,-0.00170995733435316,-0.000800120466863031,-0.000884366401966472,-0.000852528293341158,-0.000958689266866985,-0.00100157512707879
"14",-0.00128736781807955,-0.00134283175548512,-0.00133673053960452,-0.00142046577351799,-0.0015615912932856,-0.0012138207618911,-0.0012121065186492,-0.00121200765029372,-0.00121856270781923,-0.00136015760494799
"15",-0.00167843919041089,-0.00187089114136555,-0.00191694974912758,-0.00218999932654003,-0.00225637821727264,-0.00111660421635445,-0.00124658090187749,-0.00124677648600201,-0.00142843245787143,-0.00149578952069938
"16",-0.00191458501004948,-0.00208492207446494,-0.00206216301661763,-0.00228154521239264,-0.00235181498637842,-0.00124327031212782,-0.00135994931273189,-0.00131016383625121,-0.001452020634279,-0.00152167186987658
"17",9.97115477868304e-05,5.32940580899941e-05,7.41070368486169e-05,7.68218412170265e-06,-4.47382349299523e-05,0.000187695794220273,0.00020550966625501,0.000202338492262819,0.000216620323551649,0.00016546176202895
"18",-0.00152767143797627,-0.00169548056651756,-0.00168027157270914,-0.00189745894866061,-0.00198270448951897,-0.000897314385034886,-0.00101200722606974,-0.000973752634206541,-0.00111630892776606,-0.0012015186683444
"19",-0.00162745352800183,-0.00177628024403229,-0.00176325471426828,-0.00196152461047898,-0.00201864704397081,-0.00112104464190714,-0.00120674479560378,-0.001176029975925,-0.00128619094659788,-0.00134298298776607
"20",-0.00161836099454886,-0.0017732355945742,-0.00170927043021665,-0.00189437730565671,-0.00196165995494637,-0.000913960392985536,-0.000992886468033726,-0.000947757561792647,-0.00103918425078248,-0.00110604707841972
"21",-0.00267951554852952,-0.00289808529188083,-0.00284338417551718,-0.0031156184445096,-0.00317944463797704,-0.00174676527460606,-0.00188343351512645,-0.00181755122056246,-0.00198054389797222,-0.00204478151417243
"22",-0.00129103253101652,-0.00145626548052507,-0.00144559897170552,-0.00166408372639927,-0.00174617609057383,-0.000688737321701727,-0.000798790739990259,-0.000757918040438165,-0.000896089289627553,-0.000979459024743547
"23",-0.00248346098734078,-0.00262963902212941,-0.00261935255331232,-0.00281596438179206,-0.00295305829961148,-0.00198082054010399,-0.00206426030162406,-0.00203338365028939,-0.002141980541319,-0.00227807000109866
"24",-0.00203328126854513,-0.00220350123274659,-0.00217013513400744,-0.00238814583020085,-0.00248677230150182,-0.00136352991789444,-0.00146504418018495,-0.00141874004804339,-0.00154256770525801,-0.00163958311464729
"25",-0.00224838776378868,-0.00238601751222809,-0.00236222461604042,-0.00253775056077189,-0.00261711841700585,-0.00171896510248931,-0.00180505129669001,-0.00177195923043719,-0.00187755670420782,-0.00195651886593056
"26",-0.00255977766736095,-0.00270689748545254,-0.00267959926173999,-0.00286908566156708,-0.00303798529850534,-0.00201986958774923,-0.0021021505659882,-0.0020695977085639,-0.00217215194824047,-0.00234159381542518
"27",-0.00148313694332401,-0.001598544626944,-0.00160824881331857,-0.00177150306729652,-0.00187064435313608,-0.00116877691210524,-0.00123316628055354,-0.00121916614550442,-0.00130850658108831,-0.00140542195884502
"28",-0.00178435479529583,-0.00188917352043578,-0.00187811243187473,-0.00201947370321807,-0.00211213800654335,-0.00146954834038893,-0.00151853747756423,-0.00150381534620645,-0.00156895326756792,-0.00166238253085055
"29",-0.00212383525386509,-0.00226685900980877,-0.00225979346236021,-0.00245198506630942,-0.00255220226564181,-0.00165485665615387,-0.00173775217682514,-0.00171235192448541,-0.00182061755502812,-0.00191896258347703
"30",-0.000623832897444624,-0.000698313440466353,-0.000698053090692481,-0.00080679097990417,-0.000921839696086804,-0.000473595280470371,-0.000491619981229828,-0.00048998632250599,-0.000521801412387748,-0.000636160226623128
"31",-0.00109373509093363,-0.00121067376634081,-0.00121916975350926,-0.00138858079968901,-0.00147180801540469,-0.000814837484579917,-0.000855450459466677,-0.000858168221599482,-0.000925218683917799,-0.00100815717164956
"32",-0.00103942268971223,-0.0011643103770645,-0.00116574782967222,-0.00134071904267128,-0.00144172089624699,-0.000693976165549157,-0.000752702605501894,-0.000740708700919591,-0.000824876024885559,-0.000923665006489572
"33",-0.00117883388396662,-0.0013094562358983,-0.00131098065281716,-0.00149293493858218,-0.00161131507209613,-0.000802397334516988,-0.000867637157330759,-0.000852793905863989,-0.000943951353838413,-0.00105952812803795
"34",-0.00194505762856927,-0.00206665694930501,-0.0021152682013843,-0.00229654118501036,-0.00241879875979326,-0.00170302271024499,-0.00178921357452962,-0.00179414866591949,-0.00191795514304533,-0.00203968185388607
