"","cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
"1",-0.00277021701116722,-0.00295764775566107,-0.00333522734276449,-0.00373745084850342,-0.00423232611313566,-0.00237070316237157,-0.00248517218095491,-0.00263934662417561,-0.00287389603183343,-0.00337025132687553
"2",-0.00256825923921039,-0.00278031292182544,-0.00303643628253742,-0.00342620735358615,-0.00373771769456914,-0.00188631532258109,-0.00199246839714757,-0.00208751509554218,-0.00228597024048059,-0.00259438941093216
"3",-0.00235933224118657,-0.00261909422306085,-0.00282573214991589,-0.00325816012884943,-0.0036038913091612,-0.00132532101535431,-0.00147009152377587,-0.00150095753017012,-0.00172133883809823,-0.00206296848252356
"4",-0.00259244345439545,-0.002741901933163,-0.00290905266863321,-0.00319239500193583,-0.00358784290712793,-0.00214289336690658,-0.00220852585372013,-0.00223963713403721,-0.00235934307602208,-0.0027610800593811
"5",-0.00246638554303856,-0.00269631628556871,-0.003018293695428,-0.00347293775918344,-0.00390205733310953,-0.0017447930337108,-0.00186072214596521,-0.00194460392800383,-0.00217757291758116,-0.00259967723405846
"6",-0.00344769678885593,-0.0037321149019947,-0.0039636392067816,-0.00442738926392785,-0.00471232622678226,-0.00226268885741476,-0.00243967709038256,-0.00248428787424093,-0.00274910313921849,-0.00302926803020622
"7",-0.00346268341181955,-0.00368065355565961,-0.00406429217871565,-0.00450268733874318,-0.00504749935135819,-0.00282614015336685,-0.00297020548075076,-0.00312151212415834,-0.00339676396636597,-0.00394058523442471
"8",-0.00474189441846731,-0.00504969855901068,-0.0052621517042878,-0.00576026946710475,-0.00618166130298479,-0.00346397569747218,-0.0036308808911935,-0.00365622640716874,-0.00390616676214625,-0.0043211237651967
"9",-0.0026788088179507,-0.00296216476221013,-0.00327797154605549,-0.00377134181793501,-0.00406905090510921,-0.00162472405506619,-0.0018120581926537,-0.00189791286107827,-0.00219400538289729,-0.00248150445585012
"10",-0.00525520641991236,-0.00559465247800825,-0.00596977250505088,-0.00654914235941558,-0.00700244927926772,-0.00390446908360321,-0.00414531017679671,-0.00424872536586867,-0.00462219791333737,-0.00507363855651901
"11",-0.00445401963283312,-0.00480977761336309,-0.00516975845085216,-0.00577113771301291,-0.00611836140651485,-0.00303552463959749,-0.00326566580745975,-0.00336691238585763,-0.00372904194514282,-0.00407294465896685
"12",-0.000102580964555721,-0.000225249336720866,-0.000376414305052052,-0.000630193189379591,-0.000955012303376549,0.000196908981188567,0.000161445357999578,0.000139685772035152,5.09127886447994e-05,-0.000266516400299396
"13",-0.00403792975136611,-0.00432377558216058,-0.00472777144588883,-0.00524979992234965,-0.00568493491992471,-0.00300261619783896,-0.00318414816511261,-0.00337219615697727,-0.00369616270397366,-0.00412642060111587
"14",-0.00328374644310109,-0.00356800028688966,-0.00389716172604276,-0.00440066816388953,-0.00482441542417046,-0.00222728799728574,-0.00241118410018275,-0.00249825616455944,-0.00279727897939639,-0.00320976200680539
"15",-0.00236896361242689,-0.00258447498011579,-0.00280132784345518,-0.00319247716919996,-0.00351682858359226,-0.00160681137170344,-0.00170629453080443,-0.00174678589771208,-0.00192488941960792,-0.00224219508493762
"16",-0.00352835211095243,-0.00381535678269809,-0.00420907606155204,-0.00473857448478077,-0.00509112829782977,-0.00252010752040467,-0.0027156202057241,-0.00283770179486662,-0.00316788611262211,-0.00351392351201338
"17",-0.00370749967293213,-0.00401822737208719,-0.00428698963366258,-0.00479277828847012,-0.00515947480142263,-0.00238522773143851,-0.00259357045344194,-0.00264600801906185,-0.00295484977126136,-0.00331362268991001
"18",-0.00479766331137114,-0.00515778268894669,-0.00548319132964495,-0.00606646655586667,-0.00646417179492991,-0.00327978904264465,-0.00352273061296369,-0.00361732492561665,-0.00398186313528302,-0.00437347727015115
