"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
-0.01,-0.016,-0.013,-0.02,-0.021,-0.003,-0.005,-0.004,-0.007,-0.009
-0.061,-0.068,-0.063,-0.071,-0.072,-0.04,-0.044,-0.041,-0.045,-0.047
-0.058,-0.065,-0.061,-0.068,-0.07,-0.038,-0.042,-0.04,-0.044,-0.046
-0.045,-0.051,-0.047,-0.054,-0.055,-0.027,-0.03,-0.028,-0.031,-0.033
-0.061,-0.069,-0.064,-0.073,-0.075,-0.041,-0.045,-0.042,-0.048,-0.05
-0.049,-0.055,-0.051,-0.059,-0.06,-0.033,-0.036,-0.034,-0.038,-0.04
