date,small_growth,small_neutral,small_value,big_growth,big_neutral,big_value
2014-07-31,-0.014015,0.004585,0.004485,0.000585,0.011285,0.025785
2014-08-31,-0.003715,0.030385,0.021785,0.020885,0.021185,0.010885
2014-09-30,-0.0184108333333333,-0.0121108333333333,-0.0013108333333333,-0.0313108333333333,-0.0397108333333333,-0.0502108333333333
2014-10-31,-0.0211025,-0.0114025,-0.0090025,-0.0159025,-0.0120025,-0.0104025
2014-11-30,-0.0106041666666667,-0.0118041666666667,-0.0138041666666667,-0.0115041666666667,-0.0113041666666667,-0.0122041666666667
2014-12-31,-0.0245308333333333,-0.0220308333333333,-0.0342308333333333,-0.0265308333333333,-0.0210308333333333,-0.0312308333333333
2015-01-31,0.0043958333333333,0.0221958333333333,0.0256958333333333,0.0109958333333333,0.0062958333333333,-0.0015041666666666
2015-02-28,0.0218933333333333,0.0348933333333333,0.0237933333333333,0.0184933333333333,0.0252933333333333,0.0285933333333333
2015-03-31,-0.0078208333333333,-0.0014208333333333,-0.0210208333333333,-0.0035208333333333,-0.0142208333333333,-0.0195208333333333
2015-04-30,0.0671958333333333,0.0674958333333333,0.0684958333333333,0.0487958333333333,0.0588958333333333,0.0730958333333333
2015-05-31,-0.0079025,-0.0108025,-0.0046025,-0.0104025,-0.0216025,-0.0373025
2015-06-30,-0.0109083333333333,-0.0148083333333333,-0.0154083333333333,-0.0219083333333333,-0.0323083333333333,-0.0335083333333333
2015-07-31,-0.0392483333333333,-0.0295483333333333,0.0055516666666666,-0.0413483333333333,-0.0618483333333333,-0.0610483333333333
2015-08-31,-0.0781025,-0.0889025,-0.0928025,-0.0820025,-0.0892025,-0.0953025
2015-09-30,0.0263958333333333,0.0216958333333333,0.0099958333333333,-0.0052041666666666,-0.0033041666666666,-0.0033041666666666
2015-10-31,0.0500433333333333,0.0680433333333333,0.0672433333333333,0.0534433333333333,0.0564433333333333,0.0631433333333333
2015-11-30,-0.0149416666666667,-0.0107416666666667,0.0012583333333333,-0.0110416666666667,-0.0336416666666667,-0.0352416666666667
2015-12-31,-0.0037233333333333,0.0111766666666667,0.0328766666666667,-0.0033233333333333,-0.0036233333333333,-0.0097233333333333
2016-01-31,-0.05435,-0.05515,-0.05485,-0.04905,-0.05375,-0.06315
2016-02-29,-0.0096566666666666,-0.0090566666666666,-0.0308566666666667,-0.0160566666666667,-0.0004566666666666,0.0137433333333333
2016-03-31,0.108639166666667,0.102939166666667,0.105939166666667,0.0975391666666667,0.115639166666667,0.129939166666667
2016-04-30,0.0057391666666666,0.0210391666666667,0.0428391666666667,0.0151391666666667,0.0068391666666666,0.0274391666666667
2016-05-31,-0.0319358333333333,-0.0299358333333333,-0.0287358333333333,-0.0275358333333333,-0.0328358333333333,-0.0552358333333333
2016-06-30,0.0233933333333333,0.0331933333333333,0.0395933333333333,0.0193933333333333,0.0296933333333333,0.0364933333333333
2016-07-31,0.0294,0.0496,0.0562,0.0344,0.044,0.0625
2016-08-31,-0.0015666666666666,0.0046333333333333,0.0149333333333333,0.0003333333333333,0.0112333333333333,0.0246333333333333
2016-09-30,0.0118833333333333,0.0224833333333333,0.0240833333333333,0.0068833333333333,0.0060833333333333,0.0061833333333333
2016-10-31,-0.0240458333333333,-0.0072458333333333,0.0356541666666667,-0.0319458333333333,-0.0131458333333333,0.0019541666666666
2016-11-30,-0.06399,-0.05419,-0.05669,-0.06499,-0.05339,-0.03709
2016-12-31,0.0094,0.0157,0.0148,0.0046,0.009,0.0056
2017-01-31,0.0304833333333333,0.0464833333333333,0.0680833333333333,0.0288833333333333,0.0437833333333333,0.0600833333333333
2017-02-28,0.0177641666666667,0.0337641666666667,0.0463641666666667,0.0390641666666667,0.0413641666666667,0.0554641666666667
2017-03-31,0.014785,0.040185,0.041085,0.018985,0.027985,0.027985
2017-04-30,0.00445,0.01605,0.03635,0.01645,0.01545,0.01275
2017-05-31,0.0108083333333333,0.0096083333333333,-0.0047916666666666,0.0260083333333333,0.0240083333333333,0.0202083333333333
2017-06-30,-0.0002275,0.0016725,0.0084725,-0.0040275,0.0028725,0.0059725
2017-07-31,0.0062225,0.0183225,0.0336225,0.0242225,0.0237225,0.0364225
2017-08-31,-0.009715,0.002085,0.000985,0.004285,0.011185,0.015685
2017-09-30,-0.0226566666666667,-0.0127566666666667,0.0056433333333333,-0.0007566666666666,-0.0109566666666667,-0.0128566666666667
2017-10-31,0.0244641666666667,0.0330641666666667,0.0427641666666667,0.0268641666666667,0.0276641666666667,0.0311641666666667
2017-11-30,0.0261683333333333,0.0203683333333333,0.0177683333333333,0.0241683333333333,0.0083683333333333,0.0037683333333333
2017-12-31,0.0349708333333333,0.0294708333333333,0.0416708333333333,0.0433708333333333,0.0331708333333333,0.0337708333333333
2018-01-31,0.0640083333333333,0.0568083333333333,0.0493083333333333,0.0407083333333333,0.0560083333333333,0.0708083333333333
2018-02-28,-0.0273483333333333,-0.0291483333333333,-0.0332483333333333,-0.0341483333333333,-0.0387483333333333,-0.0460483333333333
2018-03-31,0.0073083333333333,-0.0073916666666666,-0.0307916666666667,-0.0029916666666666,-0.0092916666666666,-0.0252916666666667
2018-04-30,-0.0097691666666666,-0.0007691666666666,0.0045308333333333,-0.0171691666666667,-0.0074691666666666,0.0007308333333333
2018-05-31,-0.0412583333333333,-0.0303583333333333,-0.0400583333333333,-0.0358583333333333,-0.0336583333333333,-0.0288583333333333
2018-06-30,-0.0531666666666667,-0.0550666666666667,-0.0603666666666667,-0.0446666666666667,-0.0545666666666667,-0.0599666666666667
