date,big_growth,big_neutral,big_value,small_growth,small_neutral,small_value
2012-07-02,0.0066012526413204,-0.0011444181735299,0.0102341846629711,0.0177388742697495,-0.0027375524191553,0.0126858573983531
2012-07-03,0.0287316012436089,0.0178021034242594,0.0258589589768624,0.0203131427601889,0.0116037861335083,0.0118660928569902
2012-07-04,-0.0064558153325374,0.0105732664298545,-0.0080935061001027,0.0238118352296079,0.001266688393866,-0.0050457073953808
2012-07-05,-0.0094942527736329,-0.0012153171692355,0.0089861056986224,-0.0052340806403372,-0.0125588648689052,-0.0026639324559811
2012-07-06,-0.0056299385591996,0.0012174354739282,-0.0218804129095003,-0.0097452773572706,-0.0049131171053299,0.019150085736968
2012-07-09,-0.0140543958109843,-0.0064867698534321,-0.0050439285395113,-0.0055518870318438,0.0015620436066142,-0.0294821919096933
2012-07-10,0.0060619510569201,-0.0012038692320138,-0.0112613385576187,0.0045554591940352,-0.0014457660102858,9.45432401041983e-05
2012-07-11,-0.000438877655477,0.0019655942143799,-0.0014950243966716,0.0086899625356143,0.0118981486011492,0.0021273529228162
2012-07-12,-0.0063812348704964,-0.0121483372769976,-0.0082343696938778,-0.0058067058655503,-0.0051359003797914,-0.0154195470324568
2012-07-13,0.0053671426315455,0.0080479002071379,0.0251196133207562,-0.0010186869745287,0.0205755146696804,0.0175256986128306
2012-07-16,0.0049197384694646,-0.0036946315301671,-0.0033824046872466,0.014109695923701,0.0113466625198557,-0.0039765129733178
2012-07-17,0.0052676898107314,-0.0094333928096461,0.0037311011521245,-0.012628140402218,0.003905003858416,-0.0299962438924214
2012-07-18,0.000805647020471,-0.0097591657615185,0.0014117665329074,0.0014022392083739,0.0020225682235221,-0.0136396930814813
2012-07-19,0.0026872141567921,0.0082080091846887,0.01462003493753,0.0080193346697766,-0.0059031155901161,-0.0261098519300151
2012-07-20,-0.0063999286421284,-0.001100395098571,-0.0195259739895262,-0.0016825242073007,0.0025945365406369,-0.0083311546206512
2012-07-23,-0.0236253411425591,-0.0128607729771955,-0.0282833327237459,-0.0196148793143465,-0.0258281480847127,-0.0082686277584035
2012-07-24,-0.0038279624095305,-0.0073460364628307,-0.0108310439383414,-0.0252603507418659,0.0030498795581898,0.0066182219058148
2012-07-25,-0.0053526543789528,-0.0017883200414806,0.006849803706459,-0.0215261687531828,-0.0081405993803346,-0.0298141408102466
2012-07-26,0.009557578410657,0.0026622928784476,0.0110465189438814,-0.0011933087511743,0.0165183333197754,0.0001755959720955
2012-07-27,0.0236216945714886,0.0124014796764759,0.0260975788458429,0.0024005588996815,0.0047863157148115,0.0177925357526672
2012-07-30,0.0020134033092733,0.0107056269947721,0.01074323314676,0.0064794421398218,-0.0044911796862601,-0.0142760931624701
2012-07-31,0.0164981856913256,0.0096145806139382,-0.0250320196041262,0.0050440875973533,0.0071216301280271,-0.020233147052332
2012-08-01,-0.0053471307135411,-0.0002355981502505,0.0093414699921728,-0.0024770828845218,-0.0049407691737363,0.0126131276885476
2012-08-02,-0.0119211316472484,-0.0061948713194903,-0.015778925027289,0.0139681272424133,-0.0023610716273538,-0.0045781918018233
2012-08-03,-0.0026747315444743,0.0100460101723126,0.0230729320057329,-0.0059011384133533,0.011846420894952,0.0185052292141332
2012-08-06,-0.0014690446989716,0.0073332195613145,0.0121171464376459,-0.0021924127301546,0.0036874877131571,-0.0105831784176222
2012-08-07,0.0060214977385876,-0.0001633351469384,0.0128957191005615,0.0143700659687316,-0.0006095791908317,-0.0070518558672255
2012-08-08,0.0057718666996783,0.0036503708546521,0.0181615264458602,0.0009870200338876,-0.0015409430206366,0.0054033563518372
2012-08-09,0.0132896613375299,0.0059889338393307,-0.0117320431509869,0.0029284707533811,-0.003251615965415,-0.0063466825133113
2012-08-10,-0.0034063148533213,-0.0001309096837462,-0.0102889467608031,-0.0076746882091622,0.000458005867761,0.0073895284648866
2012-08-13,-0.0090812906015641,-0.0030449635556633,-0.000994770102964,0.0052154731687668,-0.0093185480761164,-0.010706166921231
2012-08-14,0.0061857202226894,0.0077067369669292,0.0012451623737773,-0.0039850456860604,-0.0031491652464951,-0.0126588707092562
2012-08-15,0.0066416960452884,-0.0073836355535558,-0.0003060490072964,0.0012051595681829,-0.0099987730212897,-0.001055307517931
2012-08-16,0.0034309155683899,-0.0031504708866742,0.0084263191246759,0.0021656246648528,-0.0008217047690133,-0.0111046955953173
2012-08-17,-0.0029891123093432,0.0073205202508316,0.0022423736556391,-0.0019952035102807,0.0021574902163993,0.0115378718455469
2012-08-21,0.0037984450621188,0.005621354139775,0.0030878055671111,0.0111894562176181,0.0021858338188539,0.0032200181493555
2012-08-22,0.0017875487119709,-0.0014606361186349,-0.0010826605422508,0.0118916803759435,0.0148489578093843,-0.0010564567238844
2012-08-23,-0.0085729871930634,0.0119158389778908,0.0009110446895935,-0.0075539223578239,-0.0032411961308164,-0.0028364684593442
2012-08-24,0.0002578708483633,-0.0148484326050737,-0.0076884764513229,-0.0151677071729699,-0.0078394367475155,-0.0028592589716525
2012-08-27,0.0007330916380088,-0.0068337118853452,-0.0084676612769525,-0.0066445712042111,-0.0080614470565981,0.0034269216588443
2012-08-28,-0.0025557006577464,-0.0007728262919596,-0.0048372921185378,-0.0020255023204022,-0.0062449530509865,-0.0136432723711318
2012-08-29,-0.0119707130733451,-0.0025995977961175,-0.0083709108503181,-0.0037589246742297,-0.0062048568917229,0.0031530106932778
2012-08-30,-0.0060639633730902,-0.0002471009801069,-0.0089747874984134,-0.0007009927698082,-0.0061133475094206,-0.003301029481908
