"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
-0.233,-0.253,-0.289,-0.33,-0.37,-0.187,-0.198,-0.211,-0.233,-0.273
0.005,-0.006,-0.032,-0.06,-0.102,0.016,0.012,0.004,-0.008,-0.049
-0.256,-0.281,-0.349,-0.403,-0.444,-0.189,-0.207,-0.251,-0.29,-0.331
-0.133,-0.15,-0.181,-0.219,-0.28,-0.092,-0.1,-0.109,-0.128,-0.189
-0.04,-0.049,-0.088,-0.119,-0.173,-0.056,-0.057,-0.075,-0.09,-0.143
-0.1,-0.115,-0.144,-0.178,-0.229,-0.074,-0.079,-0.09,-0.105,-0.156
-0.268,-0.292,-0.315,-0.356,-0.397,-0.178,-0.191,-0.196,-0.218,-0.259
-0.041,-0.057,-0.087,-0.123,-0.151,-0.008,-0.014,-0.024,-0.041,-0.068
-0.094,-0.119,-0.164,-0.215,-0.247,-0.018,-0.035,-0.054,-0.087,-0.117
0.129,0.117,0.084,0.051,0.016,0.134,0.132,0.118,0.104,0.07
-0.085,-0.101,-0.149,-0.19,-0.228,-0.063,-0.071,-0.099,-0.124,-0.161
-0.181,-0.213,-0.253,-0.31,-0.363,-0.066,-0.086,-0.097,-0.132,-0.184
-0.094,-0.114,-0.171,-0.22,-0.249,-0.059,-0.073,-0.099,-0.132,-0.16
-0.133,-0.146,-0.189,-0.224,-0.267,-0.133,-0.138,-0.159,-0.178,-0.22
-0.11,-0.128,-0.181,-0.225,-0.262,-0.076,-0.088,-0.119,-0.147,-0.184
0.127,0.117,0.095,0.068,0.017,0.127,0.129,0.123,0.117,0.067
-0.161,-0.179,-0.219,-0.259,-0.294,-0.129,-0.139,-0.155,-0.178,-0.212
-0.159,-0.183,-0.231,-0.283,-0.318,-0.101,-0.115,-0.136,-0.166,-0.201
-0.16,-0.182,-0.24,-0.291,-0.338,-0.107,-0.121,-0.154,-0.188,-0.234
-0.159,-0.177,-0.206,-0.241,-0.283,-0.109,-0.12,-0.13,-0.151,-0.192
0.016,0.002,-0.021,-0.052,-0.091,0.039,0.036,0.028,0.018,-0.02
-0.098,-0.116,-0.154,-0.195,-0.242,-0.063,-0.072,-0.087,-0.109,-0.155
0.068,0.056,0.029,0.001,-0.03,0.077,0.074,0.065,0.053,0.024
0.397,0.39,0.366,0.343,0.327,0.39,0.389,0.381,0.373,0.357
-0.138,-0.158,-0.211,-0.258,-0.288,-0.098,-0.11,-0.137,-0.167,-0.197
-0.238,-0.251,-0.284,-0.315,-0.363,-0.223,-0.229,-0.243,-0.26,-0.308
-0.142,-0.153,-0.188,-0.219,-0.267,-0.138,-0.142,-0.16,-0.176,-0.224
-0.072,-0.093,-0.128,-0.17,-0.204,-0.02,-0.032,-0.045,-0.068,-0.1
-0.171,-0.19,-0.24,-0.286,-0.327,-0.133,-0.144,-0.169,-0.196,-0.236
-0.243,-0.268,-0.303,-0.352,-0.393,-0.163,-0.175,-0.185,-0.21,-0.25
0.139,0.133,0.097,0.069,0.027,0.111,0.113,0.095,0.085,0.043
0.154,0.145,0.11,0.08,0.035,0.14,0.139,0.123,0.11,0.065
0.022,0.001,-0.039,-0.086,-0.11,0.076,0.069,0.05,0.027,0.002
0.198,0.181,0.144,0.104,0.056,0.227,0.222,0.206,0.187,0.14
-0.117,-0.13,-0.155,-0.183,-0.251,-0.093,-0.099,-0.107,-0.121,-0.187
-0.281,-0.306,-0.336,-0.381,-0.414,-0.188,-0.204,-0.21,-0.236,-0.269
-0.227,-0.246,-0.279,-0.319,-0.375,-0.179,-0.186,-0.199,-0.218,-0.275
0.036,0.019,-0.034,-0.079,-0.108,0.064,0.056,0.026,0,-0.029
0.355,0.354,0.322,0.301,0.237,0.307,0.315,0.3,0.296,0.234
-0.259,-0.284,-0.324,-0.373,-0.414,-0.188,-0.202,-0.217,-0.245,-0.285
-0.1,-0.117,-0.145,-0.18,-0.234,-0.057,-0.064,-0.073,-0.09,-0.145
-0.252,-0.271,-0.312,-0.355,-0.403,-0.209,-0.217,-0.239,-0.262,-0.31
-0.118,-0.13,-0.159,-0.189,-0.223,-0.105,-0.108,-0.12,-0.134,-0.168
-0.402,-0.433,-0.469,-0.524,-0.581,-0.286,-0.306,-0.316,-0.349,-0.405
0.252,0.252,0.219,0.199,0.152,0.186,0.195,0.177,0.175,0.128
-0.066,-0.083,-0.115,-0.151,-0.194,-0.034,-0.041,-0.054,-0.072,-0.113
-0.254,-0.273,-0.315,-0.356,-0.393,-0.219,-0.231,-0.249,-0.274,-0.311
-0.192,-0.219,-0.276,-0.334,-0.372,-0.126,-0.144,-0.171,-0.208,-0.246
-0.292,-0.312,-0.343,-0.384,-0.432,-0.239,-0.248,-0.257,-0.277,-0.325
-0.048,-0.059,-0.097,-0.13,-0.178,-0.058,-0.059,-0.075,-0.089,-0.137
-0.427,-0.451,-0.504,-0.555,-0.599,-0.374,-0.391,-0.416,-0.451,-0.494
0.217,0.211,0.17,0.141,0.099,0.182,0.185,0.162,0.151,0.109
-0.338,-0.351,-0.38,-0.412,-0.469,-0.324,-0.328,-0.338,-0.352,-0.408
-0.217,-0.241,-0.273,-0.318,-0.366,-0.131,-0.146,-0.156,-0.183,-0.231
-0.451,-0.478,-0.495,-0.538,-0.592,-0.332,-0.348,-0.349,-0.371,-0.425
-0.004,-0.017,-0.043,-0.073,-0.098,0.023,0.018,0.008,-0.006,-0.029
-0.263,-0.288,-0.329,-0.379,-0.41,-0.189,-0.205,-0.219,-0.248,-0.279
-0.159,-0.173,-0.213,-0.25,-0.29,-0.145,-0.151,-0.169,-0.189,-0.229
0.017,0,-0.036,-0.076,-0.099,0.044,0.037,0.023,0.003,-0.019
-0.149,-0.165,-0.215,-0.256,-0.302,-0.135,-0.144,-0.17,-0.195,-0.24
0.068,0.055,0.019,-0.016,-0.058,0.069,0.067,0.051,0.037,-0.006
-0.044,-0.061,-0.113,-0.157,-0.194,-0.025,-0.035,-0.063,-0.089,-0.126
0.002,-0.003,-0.042,-0.065,-0.109,-0.035,-0.035,-0.058,-0.069,-0.114
-0.013,-0.02,-0.053,-0.082,-0.135,-0.037,-0.033,-0.046,-0.054,-0.106
-0.24,-0.256,-0.283,-0.318,-0.368,-0.204,-0.211,-0.219,-0.234,-0.284
-0.33,-0.347,-0.385,-0.423,-0.471,-0.296,-0.307,-0.322,-0.344,-0.391
-0.128,-0.148,-0.174,-0.211,-0.259,-0.065,-0.076,-0.083,-0.102,-0.149
-0.275,-0.298,-0.324,-0.366,-0.404,-0.196,-0.208,-0.213,-0.234,-0.271
-0.218,-0.232,-0.263,-0.295,-0.338,-0.194,-0.202,-0.215,-0.232,-0.274
-0.114,-0.128,-0.174,-0.212,-0.26,-0.105,-0.112,-0.137,-0.159,-0.206
-0.149,-0.165,-0.228,-0.273,-0.336,-0.135,-0.144,-0.183,-0.212,-0.274
0.1,0.091,0.061,0.032,-0.008,0.093,0.094,0.083,0.073,0.033
0.306,0.297,0.273,0.248,0.216,0.302,0.302,0.293,0.285,0.253
-0.24,-0.258,-0.291,-0.331,-0.371,-0.194,-0.204,-0.215,-0.236,-0.276
0.02,0.014,-0.007,-0.03,-0.076,0.011,0.013,0.005,0,-0.046
-0.246,-0.266,-0.293,-0.331,-0.369,-0.184,-0.195,-0.203,-0.223,-0.26
-0.267,-0.289,-0.328,-0.372,-0.413,-0.202,-0.216,-0.231,-0.258,-0.299
-0.19,-0.202,-0.225,-0.253,-0.297,-0.173,-0.177,-0.184,-0.196,-0.241
-0.22,-0.238,-0.268,-0.305,-0.329,-0.168,-0.179,-0.19,-0.21,-0.234
-0.161,-0.173,-0.204,-0.234,-0.284,-0.153,-0.158,-0.172,-0.187,-0.237
-0.267,-0.287,-0.324,-0.364,-0.404,-0.214,-0.226,-0.241,-0.266,-0.305
-0.305,-0.33,-0.356,-0.399,-0.448,-0.215,-0.229,-0.235,-0.259,-0.307
-0.12,-0.141,-0.188,-0.233,-0.27,-0.064,-0.078,-0.1,-0.13,-0.166
-0.05,-0.059,-0.094,-0.122,-0.158,-0.065,-0.068,-0.084,-0.097,-0.132
-0.354,-0.381,-0.438,-0.492,-0.532,-0.274,-0.295,-0.325,-0.364,-0.402
-0.297,-0.32,-0.344,-0.386,-0.422,-0.215,-0.227,-0.232,-0.252,-0.288
-0.077,-0.093,-0.125,-0.16,-0.191,-0.051,-0.058,-0.071,-0.088,-0.117
-0.368,-0.397,-0.435,-0.487,-0.514,-0.266,-0.286,-0.298,-0.331,-0.359
-0.221,-0.248,-0.311,-0.371,-0.408,-0.147,-0.167,-0.196,-0.237,-0.274
-0.153,-0.171,-0.199,-0.235,-0.263,-0.102,-0.113,-0.122,-0.142,-0.169
0.068,0.055,0.011,-0.028,-0.081,0.07,0.07,0.046,0.029,-0.024
-0.134,-0.156,-0.187,-0.229,-0.26,-0.064,-0.078,-0.087,-0.111,-0.141
-0.136,-0.152,-0.195,-0.237,-0.288,-0.114,-0.121,-0.138,-0.16,-0.209
0.12,0.116,0.083,0.056,0.008,0.083,0.089,0.073,0.067,0.019
-0.158,-0.174,-0.207,-0.243,-0.284,-0.132,-0.138,-0.151,-0.169,-0.209
