"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.13,0.124,0.125,0.116,0.114,0.135,0.135,0.133,0.132,0.13
0.251,0.252,0.248,0.247,0.239,0.218,0.224,0.218,0.223,0.215
0.109,0.106,0.106,0.102,0.097,0.097,0.099,0.097,0.099,0.093
0.193,0.192,0.188,0.184,0.176,0.163,0.168,0.161,0.164,0.156
0.336,0.334,0.331,0.325,0.321,0.322,0.325,0.321,0.321,0.317
0.126,0.126,0.122,0.119,0.108,0.103,0.106,0.102,0.103,0.093
-0.02,-0.028,-0.025,-0.035,-0.04,-0.001,-0.004,-0.003,-0.007,-0.011
-0.032,-0.041,-0.039,-0.051,-0.056,-0.008,-0.013,-0.011,-0.017,-0.022
0.253,0.244,0.244,0.231,0.228,0.265,0.26,0.261,0.253,0.251
0.294,0.286,0.284,0.273,0.267,0.3,0.296,0.296,0.289,0.283
-0.027,-0.036,-0.04,-0.054,-0.059,-0.024,-0.031,-0.033,-0.043,-0.048
0.128,0.125,0.124,0.118,0.11,0.121,0.122,0.12,0.12,0.111
0.108,0.1,0.098,0.086,0.082,0.105,0.102,0.1,0.094,0.089
0.337,0.333,0.332,0.326,0.323,0.335,0.337,0.336,0.335,0.332
0.164,0.159,0.158,0.15,0.147,0.162,0.16,0.159,0.157,0.154
0.394,0.394,0.392,0.39,0.384,0.373,0.379,0.374,0.378,0.373
0.344,0.347,0.344,0.346,0.343,0.31,0.319,0.313,0.321,0.318
0.253,0.252,0.249,0.247,0.244,0.225,0.229,0.225,0.228,0.225
-0.097,-0.109,-0.11,-0.126,-0.131,-0.081,-0.09,-0.089,-0.101,-0.106
0.076,0.075,0.073,0.071,0.064,0.053,0.057,0.054,0.058,0.051
0.112,0.105,0.103,0.093,0.087,0.112,0.108,0.108,0.101,0.095
0.129,0.121,0.12,0.109,0.108,0.136,0.131,0.132,0.124,0.123
0.101,0.098,0.096,0.091,0.085,0.088,0.088,0.086,0.085,0.079
0.504,0.498,0.496,0.486,0.487,0.501,0.499,0.497,0.493,0.494
0.366,0.369,0.364,0.364,0.362,0.334,0.341,0.335,0.34,0.339
0.051,0.043,0.042,0.032,0.028,0.053,0.049,0.049,0.044,0.04
0.089,0.082,0.08,0.07,0.066,0.084,0.082,0.08,0.075,0.071
0.076,0.069,0.068,0.058,0.054,0.081,0.077,0.076,0.07,0.066
0.235,0.232,0.231,0.226,0.224,0.226,0.227,0.225,0.225,0.223
-0.002,-0.009,-0.01,-0.021,-0.023,-0.004,-0.007,-0.008,-0.013,-0.016
0.679,0.683,0.68,0.682,0.68,0.648,0.659,0.653,0.662,0.66
0.159,0.151,0.152,0.141,0.134,0.166,0.164,0.164,0.159,0.152
0.23,0.227,0.221,0.214,0.208,0.211,0.213,0.206,0.204,0.199
0.558,0.552,0.552,0.541,0.538,0.571,0.57,0.57,0.565,0.562
0.335,0.333,0.331,0.327,0.322,0.313,0.317,0.313,0.315,0.31
0.083,0.083,0.081,0.079,0.076,0.06,0.063,0.06,0.062,0.059
0.075,0.07,0.067,0.059,0.055,0.064,0.064,0.061,0.058,0.053
0.05,0.044,0.04,0.03,0.025,0.038,0.034,0.032,0.026,0.02
0.784,0.794,0.789,0.797,0.794,0.732,0.749,0.739,0.755,0.752
0.001,-0.01,-0.011,-0.025,-0.027,0.012,0.004,0.005,-0.005,-0.007
0.047,0.043,0.042,0.036,0.031,0.038,0.038,0.036,0.035,0.031
0.135,0.133,0.133,0.129,0.126,0.131,0.134,0.132,0.134,0.13
0.053,0.047,0.043,0.034,0.031,0.043,0.04,0.037,0.031,0.028
0.192,0.191,0.191,0.19,0.188,0.177,0.182,0.179,0.183,0.181
0.648,0.648,0.642,0.639,0.638,0.627,0.631,0.625,0.626,0.626
0.228,0.226,0.224,0.221,0.216,0.211,0.213,0.21,0.211,0.207
0.162,0.161,0.158,0.155,0.153,0.134,0.137,0.133,0.134,0.133
0.341,0.339,0.335,0.33,0.328,0.319,0.323,0.318,0.319,0.317
0.038,0.032,0.034,0.026,0.022,0.047,0.047,0.047,0.045,0.042
0.455,0.459,0.457,0.459,0.457,0.422,0.432,0.427,0.437,0.435
0.129,0.126,0.123,0.119,0.117,0.11,0.111,0.108,0.108,0.106
0.292,0.289,0.284,0.278,0.271,0.271,0.272,0.267,0.266,0.259
0.091,0.086,0.085,0.077,0.076,0.088,0.087,0.086,0.084,0.082
0.087,0.081,0.081,0.073,0.068,0.09,0.088,0.088,0.084,0.08
-0.181,-0.192,-0.186,-0.199,-0.205,-0.136,-0.142,-0.138,-0.145,-0.151
0.146,0.144,0.14,0.136,0.132,0.123,0.126,0.121,0.121,0.118
0.09,0.085,0.084,0.076,0.073,0.079,0.078,0.076,0.074,0.071
0.336,0.336,0.334,0.332,0.331,0.32,0.324,0.321,0.324,0.323
0.132,0.128,0.126,0.12,0.118,0.119,0.119,0.117,0.115,0.114
0.117,0.114,0.112,0.107,0.1,0.099,0.101,0.098,0.098,0.092
0.325,0.323,0.318,0.313,0.312,0.293,0.296,0.289,0.29,0.288
-0.111,-0.122,-0.127,-0.143,-0.15,-0.107,-0.114,-0.117,-0.129,-0.136
0.333,0.335,0.332,0.332,0.327,0.304,0.312,0.306,0.312,0.308
0.528,0.529,0.522,0.52,0.516,0.502,0.508,0.5,0.502,0.499
-0.008,-0.018,-0.016,-0.029,-0.032,0.019,0.013,0.016,0.009,0.007
0.236,0.239,0.237,0.239,0.234,0.198,0.209,0.202,0.212,0.207
0.047,0.038,0.038,0.025,0.02,0.061,0.054,0.055,0.046,0.041
0.092,0.09,0.088,0.084,0.081,0.077,0.078,0.076,0.075,0.073
0.247,0.252,0.25,0.254,0.249,0.205,0.216,0.209,0.22,0.216
0.632,0.64,0.637,0.645,0.645,0.579,0.594,0.587,0.602,0.603
0.168,0.164,0.161,0.154,0.148,0.157,0.156,0.153,0.15,0.144
0.011,0.003,-0.001,-0.014,-0.019,0.007,0.002,-0.001,-0.009,-0.015
0.602,0.607,0.603,0.606,0.601,0.562,0.571,0.565,0.573,0.568
0.129,0.132,0.13,0.131,0.127,0.099,0.107,0.102,0.11,0.106
0.347,0.354,0.351,0.357,0.354,0.31,0.321,0.315,0.326,0.322
0.095,0.09,0.089,0.08,0.078,0.088,0.087,0.085,0.082,0.08
-0.13,-0.145,-0.14,-0.157,-0.162,-0.087,-0.096,-0.091,-0.102,-0.106
0.051,0.045,0.044,0.036,0.033,0.046,0.045,0.043,0.04,0.037
0.2,0.203,0.2,0.201,0.199,0.161,0.169,0.163,0.17,0.168
0.441,0.45,0.445,0.453,0.452,0.379,0.395,0.385,0.401,0.4
0.067,0.064,0.063,0.058,0.056,0.059,0.06,0.058,0.058,0.055
-0.065,-0.074,-0.072,-0.083,-0.09,-0.046,-0.051,-0.049,-0.054,-0.061
0.164,0.165,0.162,0.16,0.156,0.134,0.138,0.134,0.136,0.133
0.382,0.386,0.383,0.386,0.385,0.341,0.352,0.345,0.355,0.353
0.08,0.08,0.075,0.072,0.069,0.051,0.054,0.047,0.049,0.046
0.015,0.008,0.008,-0.002,-0.004,0.024,0.021,0.022,0.018,0.015
0.014,0.008,0.008,-0.001,-0.005,0.021,0.019,0.019,0.015,0.011
0.159,0.16,0.158,0.157,0.155,0.134,0.139,0.135,0.14,0.138
0.31,0.312,0.309,0.309,0.305,0.277,0.286,0.28,0.287,0.283
0.067,0.059,0.059,0.049,0.047,0.068,0.065,0.064,0.06,0.058
0.347,0.343,0.337,0.329,0.328,0.332,0.333,0.326,0.324,0.323
0.165,0.166,0.164,0.164,0.162,0.137,0.142,0.138,0.142,0.14
0.05,0.044,0.043,0.034,0.029,0.045,0.044,0.043,0.04,0.035
0.636,0.646,0.644,0.654,0.65,0.585,0.604,0.596,0.615,0.611
-0.001,-0.01,-0.01,-0.023,-0.03,0.014,0.01,0.011,0.003,-0.003
0.551,0.552,0.548,0.546,0.547,0.525,0.532,0.525,0.53,0.531
0.419,0.417,0.409,0.401,0.399,0.397,0.399,0.39,0.389,0.386
0.363,0.359,0.356,0.35,0.346,0.342,0.344,0.34,0.34,0.336
0.404,0.407,0.404,0.405,0.401,0.373,0.382,0.376,0.385,0.381
0.053,0.049,0.05,0.043,0.036,0.052,0.054,0.053,0.053,0.046
0.371,0.392,0.386,0.41,0.411,0.288,0.31,0.299,0.324,0.325
