"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.005,-0.003,-0.003,-0.017,-0.026,0.022,0.021,0.021,0.018,0.009
0.166,0.163,0.158,0.151,0.139,0.146,0.149,0.145,0.146,0.134
0.088,0.08,0.078,0.066,0.055,0.095,0.093,0.092,0.088,0.078
0.144,0.138,0.133,0.12,0.105,0.14,0.14,0.137,0.134,0.12
0.274,0.272,0.264,0.256,0.248,0.24,0.245,0.238,0.239,0.231
0.133,0.127,0.123,0.111,0.096,0.129,0.131,0.128,0.126,0.11
-0.058,-0.066,-0.066,-0.077,-0.086,-0.038,-0.041,-0.04,-0.044,-0.052
-0.079,-0.095,-0.097,-0.12,-0.13,-0.032,-0.041,-0.04,-0.053,-0.063
0.236,0.228,0.223,0.209,0.203,0.241,0.239,0.236,0.231,0.225
0.288,0.281,0.275,0.262,0.251,0.281,0.282,0.278,0.274,0.263
0.028,0.019,0.009,-0.007,-0.016,0.032,0.026,0.02,0.01,0.001
0.198,0.19,0.185,0.172,0.164,0.202,0.197,0.195,0.188,0.179
0.103,0.093,0.083,0.065,0.057,0.097,0.095,0.088,0.08,0.071
0.051,0.034,0.03,0.003,-0.004,0.099,0.09,0.09,0.076,0.068
0.059,0.05,0.045,0.029,0.018,0.067,0.064,0.061,0.054,0.043
0.269,0.268,0.262,0.256,0.242,0.242,0.247,0.242,0.245,0.231
0.225,0.227,0.222,0.221,0.213,0.178,0.187,0.181,0.189,0.181
0.042,0.031,0.024,0.006,-0.003,0.051,0.045,0.042,0.032,0.022
-0.129,-0.146,-0.155,-0.181,-0.193,-0.096,-0.107,-0.111,-0.129,-0.141
-0.078,-0.086,-0.089,-0.103,-0.119,-0.071,-0.074,-0.075,-0.08,-0.096
0.227,0.22,0.216,0.204,0.196,0.227,0.227,0.225,0.221,0.213
0.11,0.1,0.097,0.082,0.073,0.127,0.124,0.123,0.116,0.108
0.023,0.012,0.009,-0.008,-0.021,0.044,0.04,0.038,0.03,0.017
0.476,0.471,0.464,0.454,0.453,0.455,0.457,0.451,0.449,0.449
