"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.29,0.289,0.286,0.283,0.281,0.274,0.276,0.273,0.274,0.271
-0.032,-0.038,-0.035,-0.043,-0.045,-0.02,-0.023,-0.022,-0.025,-0.028
-0.001,-0.007,-0.005,-0.012,-0.014,0.005,0.003,0.004,0.001,-0.002
0.142,0.139,0.138,0.134,0.131,0.135,0.135,0.134,0.133,0.13
0.389,0.389,0.387,0.384,0.382,0.372,0.376,0.371,0.374,0.371
-0.019,-0.025,-0.022,-0.03,-0.032,-0.004,-0.008,-0.006,-0.01,-0.012
0.229,0.227,0.226,0.222,0.22,0.217,0.218,0.216,0.216,0.214
