"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
-0.101,-0.113,-0.105,-0.119,-0.121,-0.059,-0.066,-0.061,-0.069,-0.071
0.052,0.046,0.049,0.041,0.038,0.059,0.055,0.057,0.052,0.05
0.179,0.178,0.178,0.176,0.174,0.17,0.172,0.17,0.172,0.17
0.283,0.285,0.283,0.284,0.282,0.262,0.269,0.264,0.269,0.267
-0.014,-0.02,-0.019,-0.025,-0.026,-0.021,-0.025,-0.024,-0.028,-0.029
-0.02,-0.023,-0.023,-0.027,-0.031,-0.028,-0.028,-0.029,-0.03,-0.034
0.17,0.17,0.169,0.168,0.167,0.149,0.153,0.149,0.152,0.151
0.542,0.549,0.546,0.553,0.553,0.512,0.524,0.517,0.529,0.529
0.118,0.121,0.118,0.121,0.118,0.09,0.097,0.091,0.097,0.095
0.132,0.131,0.131,0.13,0.128,0.122,0.126,0.123,0.126,0.125
0.014,0.012,0.011,0.008,0.006,-0.005,-0.004,-0.007,-0.007,-0.009
0.19,0.191,0.188,0.188,0.187,0.169,0.172,0.168,0.171,0.17
0.34,0.339,0.338,0.336,0.335,0.333,0.335,0.333,0.333,0.332
0.193,0.191,0.191,0.188,0.189,0.181,0.181,0.18,0.18,0.181
0.222,0.215,0.213,0.204,0.202,0.224,0.218,0.217,0.209,0.208
0.265,0.27,0.266,0.271,0.272,0.228,0.236,0.229,0.238,0.239
0.175,0.175,0.174,0.173,0.171,0.161,0.164,0.161,0.163,0.161
0.893,0.907,0.903,0.918,0.917,0.859,0.878,0.87,0.89,0.888
0.1,0.095,0.096,0.088,0.086,0.105,0.101,0.102,0.097,0.095
0.424,0.418,0.418,0.409,0.411,0.43,0.425,0.426,0.419,0.421
0.549,0.546,0.544,0.539,0.537,0.546,0.545,0.543,0.54,0.539
0.281,0.278,0.278,0.274,0.27,0.274,0.274,0.273,0.272,0.268
0.511,0.514,0.512,0.514,0.512,0.492,0.499,0.493,0.5,0.498
0.327,0.335,0.329,0.337,0.335,0.275,0.288,0.278,0.29,0.289
0.629,0.659,0.642,0.675,0.677,0.516,0.549,0.526,0.561,0.564
