"h","distribution","etf","m.q","kz.q","qs.q","cbr.q","kz.m","qs.m","cbr.m","qs.kz","cbr.kz","cbr.qs"
200,"gauss","fem",0,0,0,0,0,0,0,0,0,0
250,"gauss","fem",0,0,0,0,0,0,0,0,0,0
300,"gauss","fem",0,0,0,0,0,0,0,0,0,0
350,"gauss","fem",0,0,0,0,0,0,0,0,0,0
400,"gauss","fem",0,0,0,0,0,0,0,0,0,0
450,"gauss","fem",0,0,0,0,0,0,0,0,0,0
500,"gauss","fem",0,0,0,0,0,0,0,0,0,0
100,"copula","fem",1,1,1,1,1,1,1,1,1,0
150,"copula","fem",0,1,1,1,0,1,1,0,0,0
200,"copula","fem",0,0,1,1,0,0,1,0,0,0
250,"copula","fem",0,0,0,0,0,0,0,0,0,0
300,"copula","fem",0,0,0,0,0,0,0,0,0,0
350,"copula","fem",0,0,0,0,0,0,0,0,0,0
400,"copula","fem",0,0,0,0,0,0,0,0,0,0
450,"copula","fem",0,0,0,0,0,0,0,0,0,0
500,"copula","fem",0,0,0,0,0,0,0,0,0,0
100,"t","ieem",0,1,1,1,0,1,1,0,1,0
150,"t","ieem",0,0,1,1,0,0,1,0,0,0
200,"t","ieem",0,0,0,0,0,0,0,0,0,0
250,"t","ieem",0,0,0,0,0,0,0,0,0,0
300,"t","ieem",0,0,0,0,0,0,0,0,0,0
350,"t","ieem",0,0,0,0,0,0,0,0,0,0
400,"t","ieem",0,0,0,0,0,0,0,0,0,0
450,"t","ieem",0,0,0,0,0,0,0,0,0,0
500,"t","ieem",0,0,0,0,0,0,0,0,0,0
100,"gauss","ieem",0,1,1,1,0,1,1,0,1,0
150,"gauss","ieem",0,0,0,1,0,0,0,0,0,0
200,"gauss","ieem",0,0,0,0,0,0,0,0,0,0
250,"gauss","ieem",0,0,0,0,0,0,0,0,0,0
300,"gauss","ieem",0,0,0,0,0,0,0,0,0,0
350,"gauss","ieem",0,0,0,0,0,0,0,0,0,0
400,"gauss","ieem",0,0,0,0,0,0,0,0,0,0
450,"gauss","ieem",0,0,0,0,0,0,0,0,0,0
500,"gauss","ieem",0,0,0,0,0,0,0,0,0,0
100,"copula","ieem",0,1,1,1,0,1,1,0,1,0
150,"copula","ieem",0,0,1,1,0,0,0,0,0,0
200,"copula","ieem",0,0,0,0,0,0,0,0,0,0
250,"copula","ieem",0,0,0,0,0,0,0,0,0,0
300,"copula","ieem",0,0,0,0,0,0,0,0,0,0
350,"copula","ieem",0,0,0,0,0,0,0,0,0,0
400,"copula","ieem",0,0,0,0,0,0,0,0,0,0
450,"copula","ieem",0,0,0,0,0,0,0,0,0,0
500,"copula","ieem",0,0,0,0,0,0,0,0,0,0
100,"t","psrm",1,1,1,1,1,1,1,1,1,0
150,"t","psrm",0,1,1,1,0,1,1,0,0,0
200,"t","psrm",0,1,1,1,0,0,1,0,0,0
250,"t","psrm",0,0,0,1,0,0,0,0,0,0
300,"t","psrm",0,0,0,0,0,0,0,0,0,0
350,"t","psrm",0,0,0,0,0,0,0,0,0,0
400,"t","psrm",0,0,0,0,0,0,0,0,0,0
450,"t","psrm",0,0,0,0,0,0,0,0,0,0
500,"t","psrm",0,0,0,0,0,0,0,0,0,0
100,"gauss","psrm",1,1,1,1,1,1,1,1,1,0
150,"gauss","psrm",0,1,1,1,1,1,1,0,1,0
200,"gauss","psrm",0,1,1,1,0,0,1,0,0,0
250,"gauss","psrm",0,0,0,1,0,0,1,0,0,0
300,"gauss","psrm",0,0,0,0,0,0,0,0,0,0
350,"gauss","psrm",0,0,0,0,0,0,0,0,0,0
400,"gauss","psrm",0,0,0,0,0,0,0,0,0,0
450,"gauss","psrm",0,0,0,0,0,0,0,0,0,0
500,"gauss","psrm",0,0,0,0,0,0,0,0,0,0
100,"copula","psrm",1,1,1,1,1,1,1,0,1,0
150,"copula","psrm",0,1,1,1,1,1,1,0,1,0
200,"copula","psrm",0,1,1,1,0,0,1,0,0,0
250,"copula","psrm",0,0,0,1,0,0,1,0,0,0
300,"copula","psrm",0,0,0,1,0,0,1,0,0,0
350,"copula","psrm",0,0,0,0,0,0,0,0,0,0
400,"copula","psrm",0,0,0,0,0,0,0,0,0,0
450,"copula","psrm",0,0,0,0,0,0,0,0,0,0
500,"copula","psrm",0,0,0,0,0,0,0,0,0,0
100,"t","vwo",1,1,1,1,1,1,1,0,1,0
150,"t","vwo",0,1,1,1,0,0,1,0,0,0
200,"t","vwo",0,0,0,0,0,0,0,0,0,0
250,"t","vwo",0,0,0,0,0,0,0,0,0,0
300,"t","vwo",0,0,0,0,0,0,0,0,0,0
350,"t","vwo",0,0,0,0,0,0,0,0,0,0
400,"t","vwo",0,0,0,0,0,0,0,0,0,0
450,"t","vwo",0,0,0,0,0,0,0,0,0,0
500,"t","vwo",0,0,0,0,0,0,0,0,0,0
100,"gauss","vwo",1,1,1,1,1,1,1,1,1,0
150,"gauss","vwo",0,1,1,1,0,0,1,0,0,0
200,"gauss","vwo",0,0,0,0,0,0,0,0,0,0
250,"gauss","vwo",0,0,0,0,0,0,0,0,0,0
300,"gauss","vwo",0,0,0,0,0,0,0,0,0,0
350,"gauss","vwo",0,0,0,0,0,0,0,0,0,0
400,"gauss","vwo",0,0,0,0,0,0,0,0,0,0
450,"gauss","vwo",0,0,0,0,0,0,0,0,0,0
500,"gauss","vwo",0,0,0,0,0,0,0,0,0,0
100,"copula","vwo",1,1,1,1,1,1,1,1,1,0
150,"copula","vwo",0,1,1,1,0,0,1,0,0,0
200,"copula","vwo",0,0,0,0,0,0,0,0,0,0
250,"copula","vwo",0,0,0,0,0,0,0,0,0,0
300,"copula","vwo",0,0,0,0,0,0,0,0,0,0
350,"copula","vwo",0,0,0,0,0,0,0,0,0,0
400,"copula","vwo",0,0,0,0,0,0,0,0,0,0
450,"copula","vwo",0,0,0,0,0,0,0,0,0,0
500,"copula","vwo",0,0,0,0,0,0,0,0,0,0
